Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,97,24,T:System.Web.UI.WebControls.DropDownList,,,,,item.CatalogTypeId  = int.Parse(ddlType.SelectedValue);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,97,24,P:System.Web.UI.WebControls.ListControl.SelectedValue,,,,,item.CatalogTypeId  = int.Parse(ddlType.SelectedValue);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,96,24,T:System.Web.UI.WebControls.DropDownList,,,,,item.CatalogBrandId = int.Parse(ddlBrand.SelectedValue);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,96,24,P:System.Web.UI.WebControls.ListControl.SelectedValue,,,,,item.CatalogBrandId = int.Parse(ddlBrand.SelectedValue);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,95,24,T:System.Web.UI.WebControls.TextBox,,,,,item.Description    = txtDescription.Text.Trim();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,95,24,P:System.Web.UI.WebControls.TextBox.Text,,,,,item.Description    = txtDescription.Text.Trim();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,93,24,T:System.Web.UI.WebControls.TextBox,,,,,item.Name           = txtName.Text.Trim();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,93,24,P:System.Web.UI.WebControls.TextBox.Text,,,,,item.Name           = txtName.Text.Trim();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,77,20,T:System.Web.UI.WebControls.DropDownList,,,,,"svc.AddCatalogItem(new CatalogItem                      {                          Name           = txtName.Text.Trim(),                          Price          = price,                          Description    = txtDescription.Text.Trim(),                          CatalogBrandId = int.Parse(ddlBrand.SelectedValue),                          CatalogTypeId  = int.Parse(ddlType.SelectedValue),                          AvailableStock = stock                      });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,77,20,P:System.Web.UI.WebControls.ListControl.SelectedValue,,,,,"svc.AddCatalogItem(new CatalogItem                      {                          Name           = txtName.Text.Trim(),                          Price          = price,                          Description    = txtDescription.Text.Trim(),                          CatalogBrandId = int.Parse(ddlBrand.SelectedValue),                          CatalogTypeId  = int.Parse(ddlType.SelectedValue),                          AvailableStock = stock                      });"
